B002KQLUVU,485,"BlackBerry 8520 Unlocked Phone with 2 MP Camera, Bluetooth, Wi-Fi--International Version with No Warranty (Black)",,,,,,,,,,,,,,,
B008GSYGT4,483,Samsung S390G Prepaid Phone With Triple Minutes (Tracfone),,,,,,,,,,,,,,,
B004IPAC10,479,"Palm Pixi Plus Verizon Only Cell Phone with WebOS, Touch Screen, 2 MP Camera and Wi-Fi - Black",,,,,,,,,,,,,,,
B0087T1S6G,475,HTC One V Prepaid Android Phone (Virgin Mobile),,,,,,,,,,,,,,,
B004HHJWEW,460,"Blackberry 9650 Bold Unlocked GSM Smartphone with 3 MP Camera, Bluetooth, 3G, Wi-Fi, and MicroSd Slot (Black)",,,,,,,,,,,,,,,
B00HRUCTYG,460,"TOTO« Unlocked Quadband Dual Sim Android 4.1 Os with 5 Inch Touch Screen Smart Phone - At&t, T-mobile, H20, Simple Mobile and Other GSM Networks (Black)",,,,,,,,,,,,,,,
B00HYA1YI6,460,"TOTO« Unlocked Quadband Dual Sim Android 4.1 Os with 5 Inch Touch Screen Smart Phone - At&t, T-mobile, H20, Simple Mobile and Other GSM Networks (Black)",,,,,,,,,,,,,,,
B00E89FFO0,459,"Unlocked Quadband Dual Sim Android 4.1 Os with 5 Inch Touch Screen Smart Phone - At&t, T-mobile, H20, Simple Mobile and Other GSM Networks (White)",,,,,,,,,,,,,,,
B004ZSGAMU,448,Verizon Motorola Droid X WiFi 3G Camera  Android Smartphone,,,,,,,,,,,,,,,
B005DTSBEU,434,Motorola Triumph Prepaid Android Phone (Virgin Mobile),,,,,,,,,,,,,,,
B002ZCW91Y,428,Tracfone 1 Year of Service & 400 Minutes,,,,,,,,,,,,,,,
B004BX2HOE,428,LG Env Touch VX11000 Touch Screen Cell Phone (Verizon Wireless) - No Warranty,,,,,,,,,,,,,,,
B004AFVEOC,418,HTC DROID INCREDIBLE Android Phone Black (Verizon Wireless),,,,,,,,,,,,,,,
B009SP8X02,412,LG Venice (Boost Mobile),,,,,,,,,,,,,,,
B0057GUFEI,411,Tracfone LG LG800G with 1200 Minutes and Triple Minutes for Life!! (Tracfone),,,,,,,,,,,,,,,
B0080DJ6CM,407,Samsung Galaxy S3 i9300 16GB - Factory Unlocked International Version White,,,,,,,,,,,,,,,
B00BV1NKCW,404,Samsung Galaxy S4 GT-i9500 16GB Factory Unlocked International Verison - Black,,,,,,,,,,,,,,,
B001BZJ54U,398,"Nokia E71 Unlocked GSM Phone with Symbian 9.2 OS, 5-Way Scroll Key, QWERTY Keyboard, 3.2MP Camera, Video, GPS, Wi-Fi, Bluetooth, FM Radio, MP3/MP4 Player and microSD Slot - Gray",,,,,,,,,,,,,,,
B00BC0WNUC,392,Blackberry Z10 16gb Black Factory Unlocked Gsm,,,,,,,,,,,,,,,
B0053HSZQG,386,Samsung Galaxy S II GT-I9100 Unlocked Phone with 8MP Camera and Touchscreen - International Version (Black),,,,,,,,,,,,,,,
B0009FCAJA,381,"Motorola RAZR V3 Unlocked Phone with Camera, and Video Player--International Version with No Warranty (Black)",,,,,,,,,,,,,,,
B005ZEF01A,380,Samsung I9250 Galaxy Nexus 16GB (Unlocked),,,,,,,,,,,,,,,
