B00723QKVQ,896,Samsung UN40EH5000 40-Inch 1080p 60Hz LED HDTV (Black),,
B00GEECXKQ,869,VIZIO E601i-A3 60-inch 1080p Razor LED Smart HDTV (2013 Model),,
B0055QYJM4,818,Haier L32D1120 32-Inch 720p 60Hz LCD HDTV,,
B004T1YAEI,771,VIZIO E3D420VX 42 Inch Class Theater 3D LCD HDTV with VIZIO Internet Apps,,
B004U5T2OG,771,VIZIO E3D420VX 42 Inch Class Theater 3D LCD HDTV with VIZIO Internet Apps,,
B004YAVDSA,771,VIZIO E3D420VX 42 Inch Class Theater 3D LCD HDTV with VIZIO Internet Apps,,
B004UETB20,710,TCL L40FHDF12TA 40-Inch 1080p 60 Hz LCD HDTV with 2-Year Warranty (2011 Model),,
B00BB9OPR8,697,LG Electronics 50LN5700 50-Inch 1080p 120Hz LED-LCD HDTV with Smart TV (2013 Model),,
B00BB9OPUA,697,LG Electronics 55LN5700 55-Inch 1080p 120Hz LED-LCD HDTV with Smart TV (2013 Model),,
B00BB9ORS0,697,LG Electronics 47LN5700 47-Inch 1080p 120Hz LED-LCD HDTV with Smart TV (2013 Model),,
B00BB9ORT4,697,LG Electronics 39LN5700 39-Inch 1080p 120Hz LED-LCD HDTV with Smart TV (2013 Model),,
B00BB9ORW6,697,LG Electronics 42LN5700 42-Inch 1080p 120Hz LED-LCD HDTV with Smart TV (2013 Model),,
B00BB0ZSIC,687,LG Electronics LN5700 32LN5700 32-Inch LED-lit 1080p Internet TV (2013 Model),,
B00BCGRX9M,639,Samsung UN22F5000 22-Inch 1080p 60Hz Slim LED HDTV,,
B00BCGRXD8,639,Samsung UN32F5000 32-Inch 1080p 60Hz Slim LED HDTV (2013 Model),,
B00BCGRXI8,639,Samsung UN40F5000 40-Inch 1080p 60Hz Slim LED HDTV (2013 Model),,
B00BCGRXJC,639,Samsung UN46F5000 46-Inch 1080p 60Hz Slim LED HDTV,,
B00BCGRZ22,639,Samsung UN50F5000 50-Inch 1080p 60Hz Slim LED HDTV (2013 Model),,
B00406YHLI,619,"Coby LEDTV1526 15"" LED High Definition TV",,
B00428N9TA,619,Coby LEDTV1926 19-Inch 720p LED HDTV,,
B004EBUZPQ,619,Coby LEDTV2326 23-Inch 1080p 60Hz LED HDTV/Monitor (Black),,
B00752R9SW,593,Panasonic VIERA TC-L55E50 55-Inch 1080p 120Hz Full HD IPS LED-LCD TV (2012 Model),,
B00752RABI,593,Panasonic VIERA TC-L47E50 47-Inch 1080p 120Hz Full HD IPS LED-LCD TV,,
B001418W2C,560,Samsung LN40A550 40-Inch 1080p LCD HDTV (2008 Model),,
B00BB0ZTJA,554,LG Electronics 39LN5300 39-Inch 1080p 60Hz LED TV,,
B00BB0ZTM2,554,LG Electronics 32LN5300 32-Inch 1080p 60Hz LED TV,,
B00BB0ZTO0,554,LG Electronics 42LN5300 42-Inch 1080p 60Hz LED TV,,
B007EM7NES,547,TCL LE48FHDF3300ZTA 48-Inch 1080p 240Hz LED HDTV with 2-Year Limited Warranty (Black),,
B007EM7NMA,547,TCL LE55FHDF3300ZTA 55-Inch 1080p 240Hz LED HDTV with 2-Year Limited Warranty (Black),,
B004N866SU,539,Samsung UN55D8000 55-Inch 1080p 240 Hz 3D LED HDTV (Silver) [2011 MODEL] (2011 Model),,
B004RTL20M,539,Samsung UN60D8000 60-Inch 1080p 240 Hz 3D LED HDTV (Silver) [2011 MODEL] (2011 Model),,
B004Y45RXI,539,Samsung UN65D8000 65-Inch 1080p 240 Hz 3D LED HDTV (Silver) (2011 Model),,
B00GKKI4IE,534,VIZIO E500i-B1 50-Inch 1080p Smart LED HDTV,,
B00GKKI4JI,534,VIZIO E550i-B2 55-Inch 1080p Smart LED HDTV,,
B00GKKI4NY,534,VIZIO E480i-B2 48-Inch 1080p Smart LED HDTV,,
B00GKKI4Q6,534,VIZIO E400i-B2 40-Inch 1080p Smart LED HDTV,,
B00GWGZFOW,534,VIZIO E420i-B0 42-Inch 1080p Smart LED HDTV,,
B00H8JNI2S,534,VIZIO E280i-B1 28-Inch 720p 60Hz Smart LED HDTV,,
B00HZI0XNE,534,VIZIO E231i-B1 23.0-Inch 720p 60Hz Smart LED HDTV (Black),,
B00HZI0Y0Q,534,VIZIO E241i-B1 24-Inch 1080p 60Hz Smart LED HDTV (Black),,
B00A7BGMSQ,530,oCOSMO 32-Inch 720p 60Hz LED  HDTV (Glossy Black),,
B004HG056M,523,VIZIO E320i-B2 32-Inch 720p 60Hz Smart LED HDTV,,
B00HFW925A,521,VIZIO E320i-A0 32-inch 720p 60Hz LED Smart HDTV (2013 Model),,
