B00J1W0NYG,267,"Alldaymall® 7 Inch Android 4.2 Tablet PC MID with Capacitive Touchscreen (Dual Core CPU, 1.5GHz, Wi-Fi, Dual Camera) Black",
B00CP4J7OY,262,LeapFrog LeapPad2 Power Learning Tablet,
B00G2Y4WNY,260,"Apple iPad Air MD788LL/A (16GB, Wi-Fi, White with Silver) NEWEST VERSION",
B009SD74H2,250,Dragon Touch® 9'' Google Android 4.2 Jelly Bean 8GB MID Capacitive Touch Screen G-sensor Dual Camera A13 Tablet MID948B [By TabletExpress],
B00F2PFDLO,246,"NORIA T2 7"" Android JellyBean Tablet PC - Multi Touch. 8GB Flash Local Memory. HDMI Port (Bonus HDMI Cable Included). Dual Core CPU. Integrated Dual Camera 2MP - Black - September 2013.",
B004CFF6ZI,231,Velocity Micro T301 Cruz 7-Inch Android 2.0 Tablet (Black),
B00887IF0Y,215,Kurio Kids Tablet with Android 4.0 - 7-Inch 4 GB,
B008HSO41I,206,"10"" GOOGLE ANDROID 4.0 TABLET 4GB FLYTOUCH 10.1 VC882 EPAD LAPTOP WIFI CAMERA HDMI Support External 3G, Flash 10.1 Cortex A8,WIFI, HDMI, Skype Video Calling &Netflix Movies",
B003COZM2C,199,Archos 7 8GB Home Tablet with Android (Black),
B00ET9L9U8,195,"Matricom® G-Tab Quantum 10 Android 4.2 HD+ IPS Quad Core Tablet PC (10.1-Inch IPS, WiFi, Bluetooth)",
B0093NZNAM,188,"TURCOM 7"" Capacitive A10 Tablet PC 4.0 Android WiFi 3G MID Allwinner (4GB Black)",
B0093XTHKE,171,Coby Kyros 7-Inch Android 4.0 4 GB Internet Tablet 16,"9 Capacitive Multi-Touch Widescreen, Black MID7036-4"
B0047Q9GT4,170,Coby Kyros MID7015-4G 7-Inch Android  Internet Touchscreen Tablet - Black,
B00ED56QQU,170,"ZEEPAD LATEST VERSION 7"" Android Tablet 4.2 Jellybean Capacitive Touch Screen A20 1GB RAM 8GB Hard Drive Dual Core with Dual Cam (7'' Dual Camera Dual-Core (A20), Bubblegum Pink)",
B005N130Y4,160,"Samsung Galaxy Tab 7.0 Plus 16GB (Dual Core, Universal Remote, WiFi)",
B0075W8D7I,160,Coby Kyros 7-Inch Android 4.0 4 GB 16,"9 Capacitive Multi-Touchscreen Widescreen Internet Tablet with Built-In Camera, Black MID7042-4"
B00AA6OVAO,154,ASUS VivoTab Smart ME400 ME400C-C1-WH 10.1-Inch 64GB Tablet (White),
B004U9USEA,151,"Samsung Galaxy Tab (7-inch, 16GB, Wi-Fi)",
B009GJYLYC,148,"Turcom 9"" 8GB ANDROID 4.0 RK 2906 1.2GHZ /GPU MALI-400 CPU WITH 3D ACCELERATOR, DUAL CAMERA AND HDMI PORT",
B00GTCFFDA,139,Sony Xperia Z SGP312U1/W 10.1-Inch 32GB Tablet White,
B00CS1WDBI,134,LeapFrog LeapPad Ultra Kids' Learning Tablet,
B00DHO2YK0,130,"7"" .TAB Nero x2 Dual Core Android 4.1 Multi-Touch Tablet PC (Black)",
B00JQAFO92,130,"Samsung Galaxy Note Pro 12.2 Keyboard Bundle (32GB, Black)",
B0083PR7N2,124,Acer ICONIA Tab A700-10k32u 10.1-Inch Tablet (Black),
B009AEPJ8U,120,Lenovo IdeaTab K3 Lynx 11.6-Inch 64 GB Tablet,
B00BJ8I7P2,120,ASUS ME301T-A1-WH 10.1-Inch 16GB Tablet (White),
B004HKIIF8,119,ASUS Eee Slate EP121-1A011M 12.1-Inch Tablet PC,
B00BF9MU62,114,Digital2 7-Inch Tablet (Pink),
B008PNWS9U,110,Visual Land Prestige 10-Inch Tablet with 16GB Memory (Pink),
B00HWMPRKM,110,Samsung Galaxy Tab Pro 8.4-Inch Tablet (Black),
B00FG7MVJU,109,Microsoft - Surface Pro 2 with 128GB - Dark Titanium,
B004DJQXDW,107,Creative ZiiO 16 GB 7-Inch Android 2.2 Wireless Entertainment Tablet (White),
B00HWMPSF6,93,Samsung Galaxy Tab Pro 10.1 Tablet (White),
B00GX05NDU,91,"NeuTab N7 7'' Dual Core Google Android 4.1 Jelly Bean Tablet PC, 1024X600 HD, Dual Camera, Google Play Pre-loaded, 3D-Game Supported",
B00BCPIFX6,90,ASUS MeMo Pad Smart ME301T-A1-PK 10.1-Inch 16GB Tablet (Pink),
B0042RRTOC,89,"Archos 43 4.3"" Touchscreen Internet Surfing Device - Cortex A8 1 GHz (501578)",
B0045I8E42,85,Velocity Micro T103 Cruz 7-Inch Android 2.0 Tablet (Black),
B00FJDUPX0,85,ASUS MeMO Pad 8 16GB Tablet (ME180A-A1-WH) White,
B00F1DB7X0,83,"Simbans (TM) S72B 7 Inch Android Tablet PC - NEW MODEL Dual Camera, Android 4.1 Jelly Bean A13 1.2Ghtz, Touch Screen, WiFi, YouTube, Skype, Games - BLACK",
B004QZASJ8,80,Dell Streak 7 Wi-Fi Tablet,
B006XGCQ2U,74,Acer Iconia A200-10g16u 10.1-Inch Screen Tablet - Titanium Gray,
B008OO41P4,74,"AGPtek® 7"" TFT Android 4.0 Capacitive Touch Screen Tablet PC (Wi-Fi Cortex A9 1.2Ghz CPU, 512M DDR3, Built-in 4GB Storage, Extend To 32GB T-Flash)",
B00480P67K,73,Samsung Galaxy Tab (T-Mobile),
B0082PRPIA,71,Lenovo IdeaTab A2109 9-Inch 16 GB Tablet,
B003NG0BKM,70,Thought Out Stabile 2.0 iPad Stand - Silver,
B00DP3KOOG,70,Microsoft Surface RT 64GB,
B00F96JG78,70,"Goldengulf 9"" inch DUAL CORE dual camera Newest MID Google Android 4.2 Tablet PC Capacitive Allwinner A23 8GB/512M RAM Flash 11.1,Registered in Washington",
B00CSKL5JA,67,Visual Land Prestige 7L - 7inch Tablet with 8GB Memory (Royal Blue),
B00DKFF386,64,Acer Iconia B1-710-L401 7.0-inch 8GB Tablet (Pure White),
B00GQDBS7O,64,"Apple iPad mini with Retina Display (16GB, Wi-Fi, Silver) NEWEST VERSION",
B00AOYX2DO,63,"Simbans (TM) S71B 7 Inch Android Tablet PC - 4GB, A13 1.2Ghtz, Touch Screen, WiFi, Camera, YouTube, Skype, Games - BLACK",
B007XVYOM4,62,VTech InnoTab 2 Learning App Tablet - Pink,
B00F4PRKDG,62,"Tagital® 9"" Android 4.2 A23 Dual Core Tablet PC Dual Camera Bundled with Keyboard",
B00BLLX9CI,60,Samsung Galaxy Note 8.0 GT-N5100 16GB 3G + WIFI table/phone international version/warranty - White,
B00CSKL4AU,60,Visual Land Prestige 7L - 7-Inch Tablet with 8GB Memory (Orange),
B00BMJJ73O,58,Ematic EGS004-BU 7.0-Inch 4GB Genesis Prime MultiTouch Tablet (Blue),
B005OUQ9WO,53,"Samsung Series 7 XE700T1A-A03US 11.6-Inch Slate (128 GB, Win 7 HP) - Dock and Keyboard Included",
B009HPGO7M,53,Acer Iconia Tab A210-10g16u 10.1-Inch 16GB Tablet (Gray),
B00BIFX5JE,53,Razer Edge Pro 256GB Tablet,
1400501520,50,"NOOK HD 7"" 16GB Tablet",
B009AIBW1E,50,"TURCOM NEW ""1GB DDR3 RAM"" ZENITHINK 10-inch_8GB_C93 UPGRADED_Android 4.0.3_Capacitive Tablet_w/ WebCam and Dual Core Cortex A9 Processor",
B00HWMPTLE,50,"Samsung Galaxy Note Pro 12.2 (32GB, White)",
B00J39HGHY,50,ASUS Tablet TF701T-B1-BUNDLE 10.1-Inch 32 GB Tablet (Grey),
B00GRACUXM,49,"Apple iPad Mini MF432LL/A (16GB, Wi-Fi, Space Gray )",
B008PNWS3G,47,Visual Land Prestige 7L - 7-Inch Tablet with 8GB Memory (Black),
B007M561UO,46,Visual Land Prestige 7-Inch Tablet with 8GB Memory (White),
B009L7YN92,46,"Zeepad9XN 9"" Multi-Touch Capacitive Touch Screen Tablet - 4GB",
B00AGKIFGU,46,Ematic FunTab 4GB 7 Multi-Touch Screen Kids Tablet with Android 4.0 (Pink and Purple),
B0053RJ3F8,44,"HTC Flyer 7"" Android Tablet, 16 GB",
B005IQGUD2,44,Coby Kyros 7-Inch Android 2.3 4 GB Internet Tablet with Capacitive Touchscreen - MID7127-4G (Black),
B00HWHQKWG,43,ASUS Vivo Tab Note M80TA-C1-BK 8-Inch 64 GB Tablet (Black),
B004EWEZM4,41,Dell Inspiron Mini Duo 3487FNT Convertible Laptop/Tablet (Foggy Night),
B004ALMF6C,40,ViewSonic ViewPad 7 7-Inch Android 2.2 Tablet - Black (Wifi & Unlocked 3G),
B00BMJCQ96,40,Ematic FTABMB2 4.3-Inch 4GB Fun Tab Mini Touch Screen Kids Tablet (Blue/Green),
B00BMJCQP0,40,Ematic FTABMP2 4.3-Inch 4GB Fun Tab Mini Touch Screen Kids Tablet (Pink/Purple),
B00FZHWR68,40,Pyle Astro PTBL92BC Android 9-Inch Bluetooth Digital Touch-Screen 3D Graphics Wi-Fi Tablet,
B00GSPW2QG,40,HP Omni O10-5600US 10.1-Inch 32 GB Tablet (Graphite),
B007OXJG7O,39,"Polaroid 7"" 4GB Internet Tablet with Android 4.0 Ice Cream Sandwich OS, Cortex A8 1GHz Processor, 512MB RAM, 4GB Internal Storage",
B00465QM6Q,38,"HP Slate 500 8.9"" Black",
B00CUM9CNW,35,"Nabi JR 5"" Children's 16GB Tablet - Nickelodeon Edition",
B008DS1M58,34,VTech InnoTab 2S Wi-Fi Learning App Tablet,
B0056BRXWQ,30,Latte ICE Smart 8 GB Smart Media Tablet,
B005LG9A54,30,Viewsonic V7E_1WNA1US7_01 ViewPad 7e 7-Inch Android 2.3 Gingerbread Tablet - White,
B0075W8E9A,30,Coby Kyros 10.1-Inch Android 4.0 8 GB 16,"10 Capacitive Multi-Touchscreen Widescreen Internet Tablet with Built-In Camera, Black MID1045-8"
B009OY2FSI,30,"Agptek 7 Inch Android 4.0 (8Gb) Capacitive Touch Screen Tablet Pc For E-Reading/3D Game/Hdmi 1080P 2160P Video/Tv Out (Black/White, Wi-Fi G-Sensor, Front Camera, Arm Cortex A9 1.2Ghz, 1Gb Ddr3, Extendable To 32Gb)",
B009T0FIWW,30,Le Pan S-WH 9.7-Inch Tablet (2 Year),
B00BH8U0LI,30,Ematic EGS004-GR 7.0-Inch 4GB Genesis Prime MultiTouch Tablet (Gray),
B00BMJJ91O,30,Ematic EGS004-PR 7.0-Inch 4GB Genesis Prime MultiTouch Tablet (Purple),
B00BUUCNE0,30,Visual Land Connect 9-Inch Tablet with 8GB Memory (Pink),
B00DP4FN3W,30,"7 Inch FastTouch(TM) A13 GOOGLE Android 4.1 AllWinner Tablet PC, Boxchip Cortex A8 1.2Ghz MID Capacitive Touch Screen G-Sensor WiFi, Camera, Skype Video Calling, Netflix Movies, 4GB BLUE",
B00E87YPNE,30,"Digital Reins 9"" Inch Tablet PC - Google Android 4.2 WiFi 8GB 512DDR3 Dual Camera & Dual Core - A23 Processor - Supports Skype Video Chatting, YouTube, Google Play",
B00GMUTQWK,30,"Nokia Lumia 2520 4G LTE Tablet, Black 10.1-Inch 32GB (AT&T;)",
B00JKCH552,30,"Samsung Galaxy Tab 4 (10.1-Inch, White)",
B00GMDCCRS,29,"ProntoTec 7"" Android 4.2 Tablet PC, Cortex A8 1.2 Ghz Dual Core Processor,512MB / 4GB,Dual Camera,HDMI,G-Sensor (White)",
B009PIQFHA,28,"MID_M729 7"" Android 4.0 4 GB Cortex A8 1.2Ghz 3G Wifi 1.3MP Front Camera HDMI 512MB RAM 16",9 Capacitive Multi-Touchscreen Internet Tablet (White)
B00H79JANA,28,"ProntoTec 9 Inch HD Android Tablet PC, Cortex A9 Dual Core 1.2 Ghz, HD (1024 x 600 Pixel) Touch Screen, Android 4.2 OS, 8G Nand Flash, DDR3 1GB RAM, Dual Cameras, Wi-Fi, G-Sensor (White)",
B00GM7Z8F2,27,"ProntoTec 7"" Android 4.2 Tablet PC, Cortex A8 1.2 Ghz Dual Core Processor,512MB / 4GB,Dual Camera,HDMI,G-Sensor (Black)",
B002GCR04Y,26,"Asus Eee PC T91 8.9-Inch Intel Atom Netbook Tablet Computer (Black), Windows XP, T91SA-VU1X-BK",
B0075W8Y1S,25,Coby Kyros 8-Inch Android 4.0 4 GB 4,"3 Capacitive Multi-Touchscreen Internet Tablet with Built-In Camera, Black MID8042-4"
B008DS1M44,23,VTech InnoTab 2S Wi-Fi Learning App Tablet,
B00HL3P9EG,23,LG G Pad 8.3 Tablet Quad-core 2gb RAM 16gb Flash 8.3 Full Hd Display White,
B00IAA2EY2,23,ASUS MeMO Pad 10 ME102A-A1-PK 10.1-Inch 16 GB Tablet (Cherry Pink),
B00A8D4FLE,22,"Kocaso M752 7"" Android 4.0 All Winner A13 Cortex A8 1.2GHz 4GB 512MB Dual Camera Capacitive Multi-Touch Tablet PC (Black)",
B00ADZP9JE,22,"Afunta(tm) White 4gb 7"" Android 4.0 Touch Capacitive Screen 1.2ghz 512mb Ram, 4gb Hard Drive Tablet Pc Wifi 3g Camera Wifi, Camera, Skype Video Calling, Netflix Movies",
B004FGTGBY,21,Android 2.1 Tablet PC X220 flytouch2 with GPS and Webcam,
B00EXTXNZI,21,Tagital® 7 Inch Dual Core Tablet PC Android 4.2 Allwinner A20 1.2Ghz Dual Camera Bundle Keyboard,
B00FAZ1Z4U,21,Tabeo E2 8 Inch Kids Tablet - Pink,
B003N2OVN4,20,IdeaPad 065185U Net-tablet PC,
B006CF8B4O,20,Sylvania SYTAB10ST 10-Inch Tablet (Black),
B0079UWSCW,20,Visual Land Prestige 7-Inch Tablet with 8GB Memory (Black),
B009HNFJHU,20,Samsung Galaxy Tab 2 10.1 16GB Titanium Silver,
B00ADZM0F0,20,"AFUNTA Allwinnwer A13 Boxchip Cortex A8 Android 4.0, 4gb Capacity, 512 Mb Ram, Multiple Touch Capactive Screen, Wifi, Camera, Skype Video Calling, Netflix Movies (red)",
B00IFFQZZ6,20,"Axis A23 7"" Dual Core, Dual Camera, 1024*600 Capacitive Screen Android 4.2 Tablet Pc (Black)",
B00JKCH4V2,20,"Samsung Galaxy Tab 4 (8-Inch, White)",
B004I1J7Z6,19,ASUS Eee PC T101MT-EU27-BK 10.1-Inch Convertible Tablet (Black),
B007CVTQJG,19,Sound Logic Android 2.3 7-Inch 2-in-1 Swivel Netbook and Tablet-in-one (72-5577),
B00HWMPRKC,19,"Samsung Galaxy Tab Pro 12.2 (32GB, Black)",
B00AVD4PQQ,18,"Klu 7-Inch Android Tablet, Capacitive Touch Screen, 1.2 GHz Processor with Built In Camera",
B00BKSYGBA,18,"Fuhu NABIXD-NV10A XD nabi 10.1"" Android 4.1 Tablet Computer, NVIDIA Tegra 3 Processor 1.3 GHz, 1GB RAM, 16GB Storage",
B00GMDAAE0,18,"ProntoTec 7"" Android 4.2 Tablet PC, Cortex A8 1.2 Ghz Dual Core Processor,512MB / 4GB,Dual Camera,HDMI,G-Sensor (Pink)",
B00K0OBEE2,18,Orbo Jr. 4GB Android 4.1 Five Point Multi Touch Tablet PC - Kids Edition [March 2014] - Pink,
B00K0S2J1A,18,Orbo Jr. 4GB Android 4.1 Five Point Multi Touch Tablet PC - Kids Edition [March 2014] - Blue,
B005OUQADC,17,Samsung Series 7 XE700T1A-A05US (11.6-Inch Screen) Laptop,
B004WF63BO,16,T-Mobile G-Slate 4G Android Tablet (T-Mobile),
B008PQ618Q,16,Craig Electronics CMP741 7-Inch Tablet,
B00FFVYSNY,16,Dell Venue Pro11i-8182BLK 10.8-Inch Tablet (Black),
B00FM8FIYS,16,"WolVol (Pink) Kids Tablet 7 inch touch screen Android 4.1 with WIFI, Front & Back Camera (Children Special Edition)",
B00G1YJ5B4,16,Acer Iconia W4-820-2894 8-Inch 32 GB Windows Tablet (Smokey Gray),
B008R0PCGM,15,"Zeki 10.1"" Capacitive Multi-touch Tablet TB1082B",
