B002P8M8HS,71,Toshiba Satellite L505-S5993 TruBrite 15.6-Inch Grey/Black Laptop - 2 Hours 25 Minutes of Battery Life (Windows 7 Home Premium),,,
B002C744K6,70,Apple MacBook Pro MC118LL/A 15.4-Inch Laptop,,,
B0032FOKXS,70,ASUS UL30Vt-A1 Thin and Light 13.3-Inch Silver Laptop (12 Hours of Battery Life),,,
B00AUT1RVW,68,Lenovo IdeaPad Yoga 13 13.3-Inch Convertible 2 in 1 Touchscreen Ultrabook,,,
B001NPDKW6,67,HP Pavilion DV6-1030US 16.0-Inch Laptop,,,
B0039825JE,67,ASUS Republic of Gamers G73JH-A1 17-Inch Gaming Laptop (Black),,,
B009DXVUQS,67,Sony VAIO T Series SVT13122CXS 13.3-Inch Ultrabook (Silver),,,
B00DEJWTTO,66,"HP Pavilion 17-e020us 17-Inch Notebook (2.4GHz Intel Core i3-3110M Processor, 6GB Ram, 750GB Hard Drive, Windows 8 64-bit)",,,
B002C745OQ,63,Apple MacBook Pro MB986LL/A 15.4-Inch Laptop 2.8Ghz,,,
B00BC4QMVE,61,ASUS Ultrabook S500CA-DS51T 15.6-Inch Touchscreen Laptop ( Black ),,,
B00F0RC4VQ,61,Lenovo IdeaPad Y510p 59388313 15.6-Inch Laptop (Dusk Black),,,
B002C7489S,60,Apple MacBook MC516LL/A 13.3-Inch Laptop (OLD VERSION),,,
B00CXFJPJC,60,HP Chromebook 14-c050 (Sparkling Black),,,
B0017HSZWK,59,Apple MacBook Pro MC723LL/A 15.4-Inch Laptop (OLD VERSION),,,
B00DNGRL82,59,"Acer C710 Chromebook (11.6"" 2GB) C710-2856",,,
B0030XZNME,58,HP G60-630US 15.6-Inch Laptop (Black),,,
B00352LQZS,58,ASUS N61JQ-X1 16-Inch Versatile Entertainment Laptop (Dark Brown),,,
B001EHAWVU,56,"Dell Latitude D610 14"" Laptop (2.00GHz Centrino Processor, 1 GB RAM, 40 GB Hard Drive, DVD/CD-RW Combo Drive)",,,
B00B7K11PU,55,ASUS X75A-DS31 17.3-Inch Laptop (Black),,,
B0081ZDWQ0,52,Dell Inspiron i15N-2548BK 15-Inch Laptop (Black),,,
B0088L18FE,51,VIZIO Thin and Light CT15-A1 15.6-Inch Laptop,,,
B002TOKT74,50,Dell Latitude D610 14.1-inch 1.73GHz Laptop,,,
B0047DVRQW,50,Apple MacBook Air MC505LL/A 11.6-Inch Laptop (OLD VERSION),,,
B004G5ZUFK,50,Compaq Presario CQ62-410US 15.6-Inch Notebook,,,
B005KP070I,50,Toshiba Portege R835-P81 13.3-Inch LED Laptop - Magnesium Alloy Casing in Blue,,,
B0085RUZ7S,50,HP Pavilion g6-1d80nr 15.6-Inch Laptop (Dark Gray),,,
B009AANCKG,50,Acer Aspire One AO756-2641 11.6-Inch Laptop (Ash Black),,,
B009HPGG2K,50,Sony VAIO E15 Series SVE15124CXW 15.5-Inch Laptop (White),,,
B00B7JO9YG,50,ASUS F55A-ES01 15.6-Inch Laptop (Black),,,
B004LRO9AK,49,ASUS G73SW-XA1 Republic of Gamers 17.3-Inch Gaming Laptop (Black),,,
B0083S3NC8,49,Samsung Series 9 NP900X4C-A01US 15.0-Inch Ultrabook (Ash Black),,,
B00F3ZNQXU,46,Dell XPS 12 XPSU12-5327CRBFB 12.5-Inch Convertible 2 in 1 Touchscreen Ultrabook (Carbon Fiber),,,
B001PII4J0,45,"Sony VAIO VGN-P530H/W Lifestyle PC (1.33 GHz Intel Processor, 2 GB RAM, 60 GB Hard Drive with G-Sensor, Vista Basic) White",,,
B00AD9NRIK,45,"ASUS Q200E-BHI3T45 11.6"" Touchscreen, Intel Core i3 2365M, 4GB Memory 500GB HDD Windows 8 64-Bit Notebook",,,
B001P9CZ9O,43,"Dell Latitude D830 Core 2 Duo 16-Inch laptop, (2.2Ghz processor, 2GB RAM, 120GB Hard Drive, windows os)",,,
B00COQ4ETG,43,ASUS N550JV-DB72T 15.6-Inch Touchscreen Laptop (OLD VERSION),,,
B00F0RE018,43,ASUS X550LA-DH51 15.6-Inch Laptop (Silver Grey),,,
B000UDISEW,42,Lenovo ThinkPad T61 7658 Notebook,,,
B00HQZGZ38,42,ASUS D550MA-DS01 15.6-Inch Laptop (Black ),,,
B0044XU4IM,41,HP 17-1181NR 17-Inch Envy Notebook PC,,,
B0081ZDWZQ,41,Dell Inspiron i15N-2728BK 15.6-Inch Laptop (Black),,,
B0096VD85I,41,Apple MacBook Pro ME294LL/A 15.4-Inch Laptop with Retina Display (NEWEST VERSION),,,
B001NPDKX0,40,HP Pavilion HDX18-1180US 18.4-Inch Laptop,,,
B002QQ8EKO,40,Apple MacBook MC207LL/A 13.3-Inch Laptop (OLD VERSION),,,
B0040X4LZI,40,Lenovo G560 Series 067999U Laptop (Black),,,
B005SY32Q2,40,ASUS Zenbook UX31E-DH52 13.3-Inch Thin and Light Ultrabook (OLD VERSION),,,
B007472CIK,40,Apple MacBook Pro MD212LL/A 13-Inch Laptop with Retina Display (OLD VERSION),,,
B009XTWJYE,40,"Toshiba L875D-S7332 17-Inch  Laptop (2.7GHZ AMD 4400M Processor, 6GB RAM, 640GB Hard Drive, HDMI, Windows 8)",,,
B00CRXZUCQ,40,Lenovo G500 15.6-Inch Laptop (Black),,,
B00EPGHFQC,40,"ASUS Zenbook UX301LA-XH72T 13.3"" Quad-HD Display Touchscreen Laptop with Gorilla Glass",,,
B006KYY00Q,39,Samsung Series 3 NP305E5A-A03US 15.6-Inch Laptop (Silver),,,
B00ATANXDC,39,Lenovo G585 15.6-Inch Laptop (Matte Black),,,
B00B588J6S,39,Samsung ATIV Book 6 15.6-Inch Full HD Touchscreen Laptop (Mineral Ash Black),,,
B00DDFESKC,39,"Acer Aspire E1-572-6870 15.6 Inch Laptop Intel i5 4200U 1.6GHz Processor, 4GB Ram, 500GB Hard Drive, Windows 8 (Clarinet Black)",,,
B002Q8HK7K,38,ASUS UL80Vt-A1 14-Inch Thin and Light Black Laptop (11.5 Hours of Battery Life),,,
B002TOKT7O,38,Dell Latitude D620-1.66 Laptop Wireless Computer,,,
B009WG6MXM,38,HP SPECTRE XT TouchSmart 15-4010nr 15.6-Inch Ultrabook (Silver),,,
B0015YUMEY,37,"Apple MacBook Pro MB076LL/A 17-inch Laptop (2.4 GHz Intel Core 2 Duo, Glossy Display, 2 GB RAM, 160 GB Hard Drive, DVD/CD SuperDrive)",,,
B002BH4QN2,37,HP Pavilion DV6-1230US 15.6-Inch Entertainment Laptop,,,
B009HPGK5I,37,Sony VAIO T Series SVT13126CXS 13.3-Inch Touch Ultrabook (Silver),,,
B00AM7MNII,37,Dell Inspiron 17 i17RM-2419sLV 17.3-Inch Laptop (Moon Silver),,,
B00B7HW5YE,37,HP Pavilion Chromebook 14-c010us 14-Inch Laptop (Black),,,
B00HZT1TK4,37,ASUS K200MA-DS01T-BL 11.6-Inch Touchscreen Laptop (Blue),,,
B00AVYPMGW,36,Acer Aspire V5-471P-6498 14-Inch Touchscreen Laptop (Silky Silver),,,
B00AW4O4ZG,36,Sony VAIO E Series SVE15134CXW 15.5-Inch Laptop (White),,,
B00CM1AAP0,36,Acer Aspire V5-122P-0600 11.6-Inch Touchscreen Laptop (Chill Silver),,,
B00CU9GLX4,35,MSI Computer Corp. MSI GT70 2OC-059US;9S7-176312-059 17.3-Inch Laptop,,,
B00G2J0XUA,35,"Toshiba Satellite C55-A5302 15.6"" Laptop - Intel Pentium 2020M / 6GB DDR3 / 500GB / DVDRW/CD-RW / HD Webcam & Microphone / Windows 8 64-bit",,,
B007Z92SKE,34,ASUS G75VW-DS71 17.3-Inch Laptop (Black),,,
B001GN5OLK,33,Dell Latitude E6400 Laptop,,,
B00811VCMA,33,Acer Aspire S5-391-9880 13.3-Inch HD Display Ultrabook (Black),,,
B00FNPD1WG,32,Acer Aspire V5-552G-X852 15.6-Inch Laptop (Cool Steel),,,
B002C74D7A,31,Apple MacBook Pro MC725LL/A 17-Inch Laptop (OLD VERSION),,,
B0048IFW9Y,31,"Compaq Presario CQ56-115DX 15.6"" 2GB 250GB Laptop PC",,,
B006M9ZWNS,31,Lenovo G570 43349KU 15.6-Inch Laptop (Black Textured),,,
